 count, option , default , type , help 
1, ['--nseedlimit'] ,0, int ," Maximum number of particles   to use. For example, if you supply a stack with 150 subtomograms, the program will   automatically select 128 as the limit to use because it's the largest power of 2 that is   smaller than 150. But if you provide, say --nseedlimit=100, then the number of particles   used will be 64, because it's the largest power of 2 that is still smaller than 100. "
1, ['--nsigmas'] ,3, float , Default=3.0. Number of standard deviations above the mean to determine pixels to mask out (erase). 
1, ['--nsoln'] ,1, int , number of solutions to keep at low resolution for the aligner 
1, ['--nsolns'] ,1, int ," number of peaks in the global search to refine, default=1.0 "
1, ['--nsort'] ,0, int , Number of output particles to generate (mainly for reverse mode) 
1, ['--nstd'] ,2, float , build trajectories from -n x std to n x std of eigenvalues. default is 2 
1, ['--ntiltslow'] ,0, int ," Default=0 (not used). If you supply an even number 1 will be added to it (for example, 4 will be turned into 5). If --ntiltslow>0, it specifies the number of tiltimages to keep in each subtiltseries, starting from the zero-tilt image and incorporating particles from right and left, one at a time. For example, in a tiltseries from -60 to 60 degress with a step size of 2 degrees, --ntiltslow=5 would keep tiltimages at angles 0,2,-2,-4,-4. "
1, ['--ntiltslowneg'] ,0, int ," Default=0 (not used). If --ntiltslowneg>0, it specifies the number of tiltimages to keep in each subtiltseries, starting from the zero-tilt image and progressively incorporating particles from negatively tilted images only. For example, in a tiltseries from -60 to 60 degress with a step size of 2 degrees, --ntiltslowneg=5 would keep tiltimages at angles 0,-2,-4,-6,-8. "
1, ['--ntiltslowpos'] ,0, int ," Default=0 (not used). If --ntiltslowpos>0, it specifies the number of tiltimages to keep in each subtiltseries, starting from the zero-tilt image and progressively incorporating particles from positively tilted images only. For example, in a tiltseries from -60 to 60 degress with a step size of 2 degrees, --ntiltslowpos=5 would keep tiltimages at angles 0,+2,+4,+6,+8. "
1, ['--ntry'] ,10, int , The number of different initial models to generate in search of a good one 
1, ['--numaslist'] , None , str , extract the particle indexes (numbers) only from an lst file into a text file (one number per line). 
1, ['--numclasses'] ,8, int , # of classes 
1, ['--numiter'] ,25, int , # of iterations to refine 
1, ['--old'] , False , None , old rtf+refine aligner 
1, ['--oldpath'] , None , str ," Path to the original refinement (input, required) "
1, ['--omega'] ,0, float , omega. 
1, ['--omit'] ,0, float , Randomly omit this percentage of atoms in the output map. 
1, ['--oneclass'] , None , int , Create only a single class-average. Specify the number. 
1, ['--onein'] , False , None ," Read 1-d input images from a single 2-D image (oneout in e2basis.py, default out e2msa.py) "
1, ['--oneinali'] , False , None ," Read 1-d input images from a single 2-D image where the first 4 elements on each row are da,dx,dy,flip "
1, ['--oneout'] , False , None , Output is a single 2-D image rather than a set of 1-D images 
1, ['--onlyflipphase'] , False , None , (T/F)Only flip phases? 
1, ['--onlynew'] , False , None , Will skip any files for which __ctf_flip files already exist. 
1, ['--onlynoinvar'] , False , None , Will skip any files for which __ctf_flip_invar files already exist. 
1, ['--optalpha'] ,0.1, float ," Penalization to apply during robust regression. Default is 0.1. If 0.0, unpenalized least squares will be performed (i.e., no trajectory smoothing). "
1, ['--optbox'] ,512, int , Box size to use during alignment optimization. Default is 512. 
1, ['--optccf'] , robust , str , Use this approach to determine relative frame translations. Note: 'robust' utilizes a bimodal Gaussian to robustly determine CCF peaks between pairs of frames in the presence of a fixed background. 
1, ['--optstep'] ,448, int , Step size to use during alignment optimization. Default is 448. 
1, ['--orientclassn'] , None , str , Specify a comma separated list of class numbers to extract in oriented particles mode. 
1, ['--orientcls'] , None , str , Filename of a cls_result_xx or classmx_xx file.  
1, ['--orientedparticles'] , None , str , Filename of the set (.lst file) with the particles used for the --orientcls file 
1, ['--original'] , None , str ," If the input stack was derived from another stack, you can provide the name of the original stack here "
1, ['--origname'] , False , None , Adds the original STAR name as a comment on each image 
1, ['--outermask'] , None , str ," Optional. If specified, this mask is projected into 2-D and used to mask out noise outside the subunit. If not specified a thresholded subunitmask is used. Only useful with --masked.  "
1, ['--outlierclass'] , False , None ," If selected, classes with fewer than mininclass particles will move permanently to an outlier class (the last class) "
1, ['--outnorescale'] , False , None ," If specified, floating point values will not be rescaled when writing data as integers. Values outside of range are truncated. "
1, ['--outpath'] , None , str , Specify a destination folder for the compressed files. This will avoid overwriting existing files. 
1, ['--outputonly'] , False , None ," Skips all of the initial steps, and just generates the final output, assuming previous steps completed successfully "
1, ['--outtag'] ,  , str ," Tag of the segmentation output. When left empty, the segmentation will be saved to 'segmentations/<tomogram name>__<neural network tag>_seg.hdf'. When set, the output will be written to 'segmentations/<tomogram name>__<outtag>.hdf' "
1, ['--outxsize'] ,0, int , Clip the output volume in x to this size. The default size is the nx size of the input images. 
1, ['--outysize'] ,0, int , Clip the output volume in y to this size. The default size is the ny size of the input images. 
1, ['--outzsize'] ,0, int , Clip the output volume in z to this size. The default size is the nx size of the input images. 
1, ['--overlap'] ,4, int , Amount of oversampling to use in local resolution windows. Larger value -> larger output map 
1, ['--oversamp'] ,1, int , Oversampling factor 
1, ['--oversample'] ,4, int , Oversample noise image to smooth transitions from regions with different noise. 
1, ['--padtwod'] ,2, float , padding factor 
1, ['--pairmask'] , False , None , Will use the ref1/ref2 pair to generate a mask which is applied after subtracting ref1 from the particle 
1," ['--parallel', '-P'] ", thread:4 , str ," Run in parallel, specify type:<option>=<value>:<option>=<value>. See http://blake.bcm.edu/emanwiki/EMAN2/Parallel "
1, ['--params'] , None , str , Comma separated pairs of parameter:value. The parameter will be changed to the value specified. 
1, ['--parm'] ,  , str ," particle_parms_xx.json file from spt_refine, this provides both the input particles and alignment parameters "
1, ['--particles_label'] , None , str , Input labels for particle file 
1, ['--particles_raw'] , None , str , Input raw particle file 
1, ['--pas'] ,110, str ," choose whether to adjust position, amplitude, sigma. use 3 digit 0/1 input. default is 110, i.e. only adjusting position and amplitude "
1, ['--patchtrack'] ,-1, int , use patch tracking before landmark based alignment. input 0/1/2 as the number of patch tracking iterations. 
1," ['--path', '--newpath'] ", None , str , Path to the classified results (output). Default = multinoali_XX 
1, ['--pdb'] , None , str , <pdb file> Show PDB structure. 
1, ['--pdbfiles'] , None , str , Specify one or mode pdb files you   wish to view 
1, ['--pdbout'] , None , str , Name of file to write center of segments in PDB format. 
1, ['--phaseflip'] , False , None , Perform phase flipping after CTF determination and writes to specified file. 
1, ['--phasefliphp'] , False , None , Perform phase flipping with auto-high pass filter (deprecated) 
1, ['--phaseflipproc'] , None , None , If specified _proc particles will be generated. Typical = filter.lowpass.gauss:cutoff_freq=.07 
1, ['--phaseflipproc2'] , None , None , If specified _proc particles will be generated. Typical = filter.highpass.gauss:cutoff_freq=.005 
1, ['--phaseflipproc3'] , None , None , If specified _proc particles will be generated. Typical = math.meanshrink:n=2 
1, ['--phaseflipproc4'] , None , None , If specified _proc particles will be generated. 
1, ['--phaseflipproc5'] , None , None , If specified _proc particles will be generated. 
1, ['--phaseflipsmall'] , False , None , Produce an output set with 1/2 size particles for faster initial model work (deprecated) 
1, ['--phaseflipstrips'] , False , None ," This will   perform phase flipping on images of an aligned tilt series on a strip-by-strip basis,   assuming the supplied ctf parameters correspond to the proper values at the tilt axis,   either the same values for all images (--defocus,--ampcont,--cs,--apix,--voltage,--bfactor)   or a different set for each (--ctfparamsfile), taking into account the tilt angle for    each image (--tltfile), which should be supplied through an IMOD-like .tlt file. "
1, ['--phaseflipwhole'] , False , None , This    will perform phase flipping on the entire image for each image in an aligned tilt    series using the CTF parameters supplied. 
1, ['--phi'] ,0, float , phi. 
1, ['--phi0'] ,0, float ," lower bound for the inplane angle phi, default=0.0 "
1, ['--phi1'] ,359, float ," Upper bound for the inplane angle phi, default=359.0 "
1, ['--pingpong'] , False , None , Cycle through the sequence forwards then backwards 
1, ['--pk_maxval'] ,-5, float , Maximum Density value of landmarks (n sigma). Default is -5 
1, ['--pk_mindist'] ,0.125, float ," Minimum distance between landmarks, as fraction of micrograph length. Default is 0.125 "
1, ['--pkeep'] ,0.8, float , fraction of particles to keep 
1, ['--pkkeep'] ,0.9, float , Fraction of landmarks to keep in the tracking. 
1, ['--plane'] , xy , str ," Change the plane of image processing, useful for processing 3D mrcs as 2D images. "
1, ['--planethres'] ,360, float ," Maximum out of plane threshold for the tiltaxis. 0 = perfectly in plane, 1 = normal to plane "
1, ['--plot'] , False , None , Data file(s) should be plotted rather than displayed in 2-D 
1, ['--plot3d'] , False , None , Data file(s) should be plotted rather than displayed in 3-D 
1, ['--plotonly'] , None , str ," FSC curves to plot in separate plots. Skips fsc curve generation. Provide .txt. files separated by commas --plotonly=file1.txt,file2.txt,file3.txt etc... "
1, ['--plotout'] , plot_ligand.txt , str , Name of a text file for the classification plot. 
1, ['--plst'] , None , str , list of 2d particle with alignment parameters. will reconstruct before alignment. 
1, ['--pointwidth'] ,1, float , The relative scale of the points plotted. The absoule size is dpenedent on particle count 
1, ['--polydegree'] , None , int , Degree of the polynomial to fit. 
1, ['--poolsz'] ," 2,1,1 ", str , Pooling size for each layer. Note the number of layers should be the same as the nkernel option.  
1, ['--postmask'] ,  , str , masking after 3d particle reconstruction. The mask is transformed if json  
1, ['--postproc'] ,  , str , processor after 3d particle reconstruction 
1, ['--posz'] , False , None , auto positioning along z axis 
1, ['--prec'] ,0.01, float ," Precision to determine what solutions are the 'same' used only statistics output, default=0.01 "
1, ['--precheckfiles'] , False , None ," ""Make sure that only valid images found by --input=* are processed -if unreadable or bad images are fed to the program, it might crash. "
1, ['--preferredside'] , None , float ," Default=None. Standard deviation in degrees to use to generate a set of orientations with a mean altitude equal to 90 degrees. Works in conjuction with --preferredtop, in which case half of the particles will be biased towards 'top' view orientations and half towards 'side' view orientations. "
1, ['--preferredtop'] , None , float ," Default=None. Standard deviation in degrees to use to generate a set of orientations with a mean altitude equal to 180 and 0 degrees (half of the particles will be oriented around mean alt=0, half around mean alat=180). Works in conjuction with --preferredside, in which case half of the particles will be biased towards 'top' view orientations and half towards 'side' view orientations. "
1, ['--prenadmaxite'] ,0, int , Default=0. Requires IMOD to be installed. Used to apply prenad filtering to a tiltseries. This is the --maxite parameter in IMOD's preNAD program (maximum number of iterations). 
1, ['--prenadminite'] ,0, int , Default=0. Requires IMOD to be installed. Used to apply prenad filtering to a tiltseries. This is the --minite parameter in IMOD's preNAD program (minimum number of iterations). 
1, ['--prenadsigma'] ,0, int , Default=0. Requires IMOD to be installed. Used to apply prenad filtering to a tiltseries. This is the --sigma parameter in IMOD's preNAD program (initial sigma for 'smoothing structure tensor'). 
1, ['--print_symmetry'] , False , None ," Print all symmetry transformation matrices, and exit "
1, ['--printbad'] ,180, float , Print the particle number if the orientation mismatch is larger than the specified angle in the last pair of files 
1, ['--proc1'] , filter.lowpass.gauss:cutoff_abs=.25 , None , If specified _proctag files will be generated. Typical = filter.lowpass.gauss:cutoff_abs=.25 
1, ['--proc2'] , filter.highpass.gauss:cutoff_pixels=5 , None , If specified _proctag tomograms will be generated. Typical = filter.highpass.gauss:cutoff_pixels=5 
1, ['--proc3'] , normalize , None , If specified _proctag tomograms will be generated. 
1, ['--proc4'] , threshold.clampminmax.nsigma:nsigma=3 , None , If specified _proctag tomograms will be generated. Typical = threshold.clampminmax.nsigma:nsigma=3 
1, ['--proc5'] ,  , None , If specified _proctag tomograms will be generated. 
1, ['--program'] , imod_alignframes , str ," Use this external program to align frames. Choose between imod_alignframes and ucsf_motioncor2. Note, programs must be accessible from your PATH environment variable. "
1, ['--projin'] , None , str ," When generating subspace projections, use this file instead of the input used for the MSA "
1, ['--projs'] ,  , str , projections with orientations (in hdf header or comment column of lst file) to train model 
1, ['--pruneccc'] , False , None , Pruned based on ccc mean and sigma. 
1, ['--pruneprj'] , False , None ," Generate a projection along the z-axis of potential particles, and compare to a projection of the template. "
1, ['--prunetest'] ,0.1, float ," Default=0.1.   Decimal number that indicates the percentage of --tilesize (in terms of side length)    to tolerate of 'bad' values (i.e., empty regions of constant density) at the corners,    and still include the tile for CTF fitting. For example, if --tilesize=256, and   --prunetest=0.1, a box of ~25-26 pixels each corner of every tile will be analyzed   and if the standard deviation of any of the corners is 0, the tile will be excluded.   To turn off this option supply --prunetest=-1.0. The program automatically adjusts    things so that the minimum size of regions at the corners to check will be 4x4 pixels. "
1, ['--psi'] ,0, float , psi in spider convention. 
1, ['--psrange'] ," 10,15,5 ", str ," phase shift range (start, end, step). default is 10, 15, 5 "
1," ['--ptcl-coords', '-P'] ", None , str , Save coordinates of the centers of particles to the specified formatted text file 
1, ['--ptcl-images-stack-mode'] , multiple , str ," Options for saving particle images to stack files. 'single' uses one stack file, 'multiple' (default) uses one stack file per helix, 'none' uses a file for each particle and is always used when the output file format does not support image stacks. "
1," ['--ptcl-images', '-p'] ", None , str , Save images of the particles. The file name specified will have helix numbers (and particle numbers if the file type does not support image stacks) added to it. 
1, ['--ptcl-length'] ,-1, int , Particle length in pixels 
1, ['--ptcl-norm-edge-mean'] , False , None , Apply the normalize.edgemean processor to each particle. 
1, ['--ptcl-not-rotated'] , False , None ," Particles are oriented as on the micrograph. They are square with length max(ptcl_length, ptcl_width). "
1, ['--ptcl-overlap'] ,-1, int , Particle overlap in pixels 
1, ['--ptcl-width'] ,-1, int , Particle width in pixels 
1, ['--ptclradius'] ,0, int , The estimated radius of the particle in pixels. 
1, ['--ptclsin'] ,  , str , particles input for alignment 
1, ['--ptclsize'] ,-1, int ," Longest axis of particle in pixels (diameter, not radius) "
1, ['--ptclsout'] ,  , str , aligned particle output 
1, ['--ptclstack'] ,  , str ," Name of the stack containing a few sample particles picked from the tomogram, used to create an initial template.                with which to search for particles throughout the tomogram. "
1, ['--q'] ,0, float , q in sgirot convention. 
1, ['--quaternion'] , False , None , Use Quaterions for tilt distance computation 
1, ['--quick'] , False , None , Use a slight approximation to the Gaussian during insertion. Does not support B-factors. 
1, ['--quiet'] , False , None , Verbose is the default 
1, ['--radcut'] ,-1, float ," For use in the GUI, truncate the polar plot after R. -1 = no truncation "
1, ['--randclassify'] , False , None , Generate initial maps by randomly assigning the particles in each class to each model after the first iteration. 
1, ['--randnclass'] ,-1, int , split into N random classes. ignore refs 
1, ['--random'] ,-1, int ," Specifying N will randomly seed N particles on density above threshold. default is -1, means only choosing peaks. Useful for non-globular particles "
1, ['--randomn'] ,0, int , Selects a random subset of N particles from the file to operate on. 
1, ['--randomphase'] ,0, float , Randomize initial model to certain frequency. 
1, ['--randorient'] , False , None ," Instead of seeding with a random volume, seeds by randomizing input orientations "
1, ['--randphase'] , False , None , Generate initial maps by randomizing the phase of the given model. 
1, ['--randstack'] ,  , str , Default=None. If you already have a stack of particles (presumably in random orientations) you can supply it here. 
1, ['--randsym'] , False , None , randomize symmetry unit assignment at the begining. seems to be helpful for high symmetry without obvious asymetrical features.. 
1, ['--rangeali'] ,  , str , Average frames 'n1-n2' 
1, ['--rclas'] ,10, float , High resloution limit used for classification 
1, ['--rcmp'] , ccc , str ," comparitor and params to use for the 3D refiner, default='ccc' "
1, ['--recalcmean'] , False , None , This will recompute the mean from the input set and subtract before projection. Useful if a different normalization is used than in the original basis file. 
1, ['--recompute'] , False , None ," default=False. This parameter requires --classmx and will recompute averages (for example, even and odd) based on the classmx file and the alignment parameters specified therein for each particle. No refinements will follow. This is exclusively for recomputing averages. "
1, ['--reconmode'] , trilinear , str , Intepolation mode for reconstruction. default is trilinear. check e2help.py for details. Not recommended to change. 
1, ['--redobispec'] , False , None , Recomputes bispectra from masked particles 
1, ['--redoharmonic'] , False , None , Recomputes harmonic power from masked particles 
1, ['--redoinvar'] , None , None , Recomputes invariants 
1, ['--ref_label'] ,  , str ," Optional: Specify a label for the averaged dark and gain references when using multiple, individual frames. A labeled will be written as movierefs/dark_<label>.hdf and movierefs/gain_<label>.hdf. Note: This option is ignored when using a single reference image/stack. "
1, ['--ref_volume'] , None , None , The reference volume for orientation determination. 
1, ['--ref1'] , None , str ," Rather than using a mask, ref1/ref2 permit using a pair of volumes for classification. "
1, ['--ref2'] , None , str ," Rather than using a mask, ref1/ref2 permit using a pair of volumes for classification. "
1, ['--refgenmethod'] , bt , str ," Method for generating the initial reference(s). Options are 'bt', for binary tree (see e2spt_binarytree.py), 'hac', for hierarchical ascendant classification (see e2spt_hac.py), or 'ssa' for self-symmetry alignment (see e2symsearch3d.py). Default=bt "
1, ['--refheader'] , None , str ," If supplied, the header of this image will be copied to the header of all images in --input. "
1, ['--refile'] , None , str ," similar to retype, but replaces the full filename of the source image file with the provided string "
1, ['--refine_defocus'] , False , None , do defocus refinement. need aliptcls input. doesn't work with refine_trans or rot yet.. 
1, ['--refine_rot'] , False , None , do translational-rotational alignment. better to start from an existing translational alignment. 
1, ['--refine_trans'] , False , None , do translational alignment. 
1, ['--refinebysnr'] , False , None , Refines the defocus value by looking at the high resolution smoothed SNR. Requires good starting defocus. Important: also replaces the SNR with a smoothed version. 
1, ['--refinedefocus'] , False , None ," Will use EMAN2 CTF fitting to refine the defocus by SNR optimization (+-0.1 micron from the current values, no astigmatism adjustment) "
1, ['--refinemulti'] , False , None ," Extracts particles based on the model_id header value in each class-average, normally produced by e2refinemulti "
1, ['--refinemultireftag'] ,  , str , Default=''. DO NOT USE THIS PARAMETER. It is passed on from e2spt_refinemulti.py if needed. 
1, ['--refitdefocus'] , False , None ," Will use EMAN2 CTF fitting to refit the defocus values (+-0.1 micron, astigmatism unchanged) "
1, ['--refn'] ,0, int , Number of the reference image in 'ref'. Default=0 
1, ['--refs'] , None , str , 3D reference volumes 
1, ['--regparam'] ,1, float , Regularization Parameter T (weights experimental data vs. prior 
1, ['--remaplstkeys'] , False , None ," For JSON files where the keys are image name,# pairs referencing a .lst file, will replace each key with the original image "
1, ['--removekey'] , None , str , DANGER! This will remove all data associated with the named key from all listed .json files. 
1, ['--removesub'] , None , str , If set will exclude the specified string from imported filenames 
1, ['--replacestring'] ,  , str ," default=None. Comma separated strings to replace in the input filenames with an underscore. For example, if --stem2stack=data, and this triggers the program to find images named 'data[1].mrc', 'data[2].mrc', etc., supplying --replacestring=[,] will first change the filename of the images to 'data_1_.mrc, data_2_.mrc, etc. "
1, ['--reprj_clip'] ,-1, int , clip after reprojection 
1, ['--reprj_offset'] ,  , str , Offset translation before reprojection 
1, ['--reproject'] , False , None , Reproject 3D particles into 2D particles. 
1, ['--resample'] , False , None ," If set, will perform bootstrap resampling on the particle data for use in making variance maps. "
1, ['--reshigh'] ,25, float , Resolution of the data included in the alignment. This is the high resolution value. ex:25 
1, ['--reslimit'] ,10, float , Low-pass filter the individual maps to target the variance to the specified resolution in A. Variance maps cannot be filtered as a post-processing operation. Default = 10 
1, ['--reslow'] ,200, float , Resolution of the data included in the alignment. This is the low resolution value. ex:200 
1, ['--resolution'] , False , None , generates a resolution and convergence plot for a single refinement run. 
1, ['--restack'] ,  , str ," .hdf, or 3D .st, .mrc, .ali, or .mrcs stack file to restack. This option can be used with --include or --exclude to unstack only specific images. Recall that the FIRST image INDEX is 0 (but unstacked image will be numbered from 1). --exclude=1,5-7,10,12,15-19 will exclude images 1,5,6,7,10,12,15,16,17,18,19 "
1, ['--restore'] , None , str , Write changes in the derived virtual stack back to the original stack 
1, ['--reverse_dark'] , False , None , Flip dark reference along y axis. Default is False. Transformation order is rotate then reverse. 
1, ['--reverse_gain'] , False , None , Flip gain reference along y axis (about x axis). Default is False. Transformation order is rotate then reverse. 
1, ['--reverse'] , False , None , Sort in order of least mutual similarity 
1, ['--rmedge'] , False , None , Remove particles on the edge. 
1, ['--rmgold'] , False , None , Remove particles near gold fiducial. 
1, ['--rot'] , None , str ," Rotate map. Specify az,alt,phi or convention:par=val:par=val:...  eg - mrc:psi=22:theta=15:omega=7 "
1, ['--rotate_dark'] ,0, str ," Rotate dark reference by 0, 90, 180, or 270 degrees. Default is 0. Transformation order is rotate then reverse. "
1, ['--rotate_gain'] ,0, str ," Rotate gain reference by 0, 90, 180, or 270 degrees. Default is 0. Transformation order is rotate then reverse. "
1, ['--rotavg'] , False , None , Compute the 1-D rotational average of each image as a final step before writing the output 
1, ['--rotsearch'] , False , None ," At each translation position, vary euler angles as well when searching for particles. "
1, ['--round'] , float , None ," If float (default), apply subpixel frame shifts. If integer, use integer shifts. "
1, ['--rrec'] ,10, float , Resolution of reconstruction in angstroms. It is the resolution to which the reconstruction is calculated. 
1, ['--rtp'] , False , None , make a rotational footprint 
1, ['--runctffind3'] , False , None , Run ctffind3 on the selected micrographs? 
1, ['--runctffind4'] , False , None , Run ctffind4 on the selected micrographs? 
1, ['--safemode'] , False , None , Safe mode without the timer... 
1, ['--sampfscs'] , False , None ," If set, full fsc curves are stored for a range of specific locations within the volume "
1, ['--sample'] ,-1, int , use only N samples. 
1, ['--samples'] ,256, int , Number of samples in the plotted curve 
1, ['--save-ext'] , hdf , str ," The default file extension to use when saving 'particle' images. This is simply a convenience for improved workflow. If a format other than HDF is used, metadata will be lost when saving. "
1, ['--save2d'] , False , None ," If on, the CTF   corrected subtiltseries will be saved as 2-D imag stacks [one per particle]. "
1, ['--save3d'] , False , None ," If on, the CTF   corrected subtiltseries will be reconstrcuted into subvolumes and save into a stack.   Options --reconstructor, --pad2d, --pad3d are used if --save3d is on. "
1, ['--saveallpeaks'] , False , None ," Default=False. If set, this will save the alignment information and score for all examined peaks --npeakstorefine during coarse alignment. "
1, ['--saveanglestacks'] ,  , str ," Default=None. Comma separated values of tilt angle indexes for which you want to save all particles as a stack. For example, if you want all particles from the 0 tilt image, you would provide the index for that image in the tilt series. In a tilt series with 61 images (1-61), the 0 tilt image is probably image number 31, so you would say --saveanglestakcs=31, and all the particles from the 0 tilt image would be put into a single HDF stack. "
1, ['--savefft'] , False , None , Default=False. Saves the average of the ffts of the tiles for an image or its strips. 
1, ['--saveffts'] , False , None ," Saves   ffts of each average of tiles per strip, for all images. "
1, ['--savehalftiltseries'] , False , None ," Default=False. If this parameter is on, the odd and even subtiltseries will be saved. "
1, ['--savehalfvolumes'] , False , None ," Default=False. If this parameter is on, the odd and even volumes will be saved. "
1, ['--savemissingtilts'] , False , None , Default=False. Save tilt images corresponding to the missing wedge region. 
1, ['--savenoise'] , False , None ," Default=False. If on, it saves the noise stack for each particle. This can be useful for testing alignment under varying SNR, so that the same noise (just at a different ratio/level) is tested. "
1, ['--savenorm'] , None , str ," If set, will save the normalization volume showing Fourier space filling to the specified file "
1, ['--saveorthostack'] , False , None ," Default=False. If on, --nptcls is ignored and you get 3 subtomograms (simulated from the model supplied) which are orthogonal to each other. "
1, ['--savepath'] , False , None , save alignment path in a json file for testing. 
1, ['--savepreprocessed'] , False , None , Default=False. Will save the intermediate steps of preprocessing of the tomogram. 
1, ['--saveprjs'] , False , None , Default=False. Save the projections (the 'tilt series') for each simulated subtomogram. 
1, ['--saverandstack'] , True , None ," Default=True. DEPREPCATED. [This option is on by default and there's no way to turn it off. The stack of randomly oriented particles before simulating the missing wedge WILL be saved]. Save the stack of randomly oriented particles, before subtomogram simulation (before the missing wedge and noise are added). "
1, ['--savesim'] , None , str ," Save all of the similarity results to a text file. (ptcl#,proj#,alt,az,sim) "
1, ['--savesinograms'] , False , None ," If provided,   this option will save the sinogram for each 2-D slice (along Y) in the reconstruction    to disk. "
1, ['--saveslices'] , False , None ," If provided,   this option will save each reconstructed 2-D slice (along Y) to disk. "
1, ['--savestriptiles'] , False , None ," Saves   all tiles for all strips, for all images, in one stack per strip. "
1, ['--savetlt'] , False , None , Default=False. Save a text file with .tlt extension (as in IMOD) containing the tilt angles for the simulated tomogram and/or subtomograms. 
1, ['--savevols'] , False , None , This option will save the reconstructed volumes at each iteration. 
1, ['--scipytest'] , False , None , test scipy optimizer. 
1, ['--scorebands'] ,0, int ," If specified will generate averages over N bands of 'score' values, including only particles in each band. "
1, ['--scorebandsali'] ,0, int ," If specified will generate averages over N bands of 'score' values, including only particles in each band, and iteratively realigning in each band. "
1, ['--scorebestset'] ,0, int , Will extract the N particles with the best scores to make a new set 
1, ['--scoreprogressive'] ,0, int ," If specified will generate progressive averages over N bands of 'score' values, including all particles starting with the best through the progressive bands. "
1, ['--scratchdir'] , /tmp , str , Internal use only. Used by the MPI client 
1, ['--seedweight'] ,1, float ," If seedmap specified, this is how strongly the seedmap will bias existing values. 1 is default, and is equivalent to a one particle weight. "
1, ['--seedweightmap'] , None , str , Specify a full map of weights for the seed. This must be in the same format as the --savenorm output map. 
1, ['--segment'] , False , None , Segment particles. 
1, ['--segout'] , None , str , Output stack for individual segmented volumes 
1, ['--select'] , None , str , Works only on the images in named selection set from bdb:select 
1, ['--seqali'] , False , None , Align each particle to the previous particle before saving with rotate_translate_tree. No flip in alignment. Aligns stack #2 instead if provided. 
1, ['--seqalicen'] , False , None ," Align each particle to the previous particle before saving, with a postalignment recentering. No flip in alignment. Aligns stack #2 instead if provided. "
1, ['--server'] , False , None , Launch a display server which can communicate with other EMAN3 programs 
1, ['--serverport'] ,31980, int ," Specify the port to listen to, needed for multiple users on one machine, default=31980 "
1, ['--set2tiltaxis'] , False , None , Default=False. Simulate particles along the tilt axis only. 
1, ['--setoption'] , None , str ," Set a single option in application preferences, eg - display2d.autocontrast:true "
1, ['--setsfpairs'] , False , None ," Applies the radial structure factor of the 1st image to the 2nd, the 3rd to the 4th, etc "
1, ['--setsfref'] , False , None , This will impose the 1-D structure factor of the reference on the class-average (recommended when a reference is available) 
1, ['--sfout'] , sf.txt , str , output 
1, ['--sharpfiltres'] ,0, float ," If specified, the edited img2process will be sharply filtered to this resolution. "
1, ['--shifttocenter'] , False , None , Shift the output pdb to center of the density map 
1, ['--shrink3d'] ,0, int , Shrink the class-averages and make a downsampled variance map 
1, ['--shrinkcompare'] ,0, int , Shrink factor for classification only (for speed) 
1, ['--shrinktomo'] ,0, int , Requires IMOD. Default=0 (no shrinking). Integer factor by which the tomogram will be shrunk. 
1, ['--sigma'] , False , None ," with --average, this will also produce standard deviation images for each average "
1, ['--sigmareg'] ,0.5, float , regularizer for the sigma of gaussian width. Larger value means all Gaussian functions will have essentially the same width. Smaller value may help compensating local resolution difference. 
1, ['--sigrange'] , None , str ," Specify <minsig>,<maxsig>, eg- 4,4 Number of standard deviations below and above the mean to retain in the output. Default is not to truncate. 4-5 is usually safe. "
1, ['--simmx'] , None , str , Will use transformations from simmx on each particle prior to analysis 
1, ['--simpleout'] , False , None , Simpler 2 column output file (appends) 
1, ['--simref'] , False , None ," Default=False. This will make a simulated particle in the same orientation as the original --input, saved to its own separate file. "
1, ['--simtemplatesn'] ,0, int ," Number of orientations to simulate templates (that is, --template will be put into --simtemplatesn different orientations, and a 'subtomogram' will be simulated for each through projections by calling e2spt_simulation.py using the information in --angles or --tiltrange and --nslices. "
1, ['--simthr2'] ,0, float , Simlarity score for the best matching final alignment. Scaling may be different due to resolution limit. Default 0 
1, ['--simvec'] , False , None ," Instead of using the class for the peak value, uses the pattern of similarities for each orientation for assignment. "
1, ['--singleimage'] , False , None , Display a stack in a single image view 
1, ['--singleplot'] , False , None ," It --plotonly provided, all FSC curves will be on the same plot/figure "
1, ['--size'] ,192, int ," Size of particles, 192 default for comparisons "
1, ['--sizez'] ,0, int ," Default=0 (not used). Output size in Z for the reconstructed tomogram. This should be the same as the --thickness value provided during tiltseries preprocessing, or larger (it's good to make sure the entire reconstruction will fit in the reconstruction volume without being too tight). If running a reconstruction of the .ali file and both --thickness and --sizez are provided, the latter will supersede the former. "
1, ['--skeleton'] , none , str , skeleton file 
1, ['--skeletonwt'] ,1, float , skeleton weight 
1, ['--skelpath'] , None , str , Optional (recommended) output from the e2skelpath.py program 
1, ['--skip3d'] , False , None , do not make 3d particles. only generate 2d particles and 3d header.  
1, ['--skipgolderasing'] , False , None ," default=False. If on, this will call IMOD to generate a new aligned tiltseries after ICONPreProcess, and then ICON-GPU will be automatically called to perform the reconstruction. Typically, one would NOT use this option as it is useful to delete the gold fiducials prior to reconstruction. "
1, ['--skipm3d'] , False , None , skip make3d. only output aligned list 
